record_timestamp,Temperature,Humidity
2025-03-18 10:00:00,18.66,41
2025-03-18 11:00:00,18.46,44
2025-03-18 12:00:00,18.36,46
2025-03-18 13:00:00,18.31,48
2025-03-18 14:00:00,17.54,54
2025-03-18 15:00:00,16.86,59
2025-03-18 16:00:00,16.57,63
2025-03-18 17:00:00,16.31,66
2025-03-18 18:00:00,16.14,68
2025-03-18 19:00:00,16.04,69
2025-03-18 20:00:00,15.93,65
2025-03-18 21:00:00,15.74,59
2025-03-18 22:00:00,15.57,56
2025-03-18 23:00:00,15.46,53
2025-03-19 00:00:00,16.51,45
2025-03-19 01:00:00,17.59,41
2025-03-19 02:00:00,18.72,38
2025-03-19 03:00:00,19.55,36
2025-03-19 04:00:00,20.26,36
2025-03-19 05:00:00,20.6,37
2025-03-19 06:00:00,20.73,38
2025-03-19 07:00:00,20.66,40
2025-03-19 08:00:00,19.95,45
2025-03-19 09:00:00,19.25,48
2025-03-19 10:00:00,18.59,51
2025-03-19 11:00:00,18.25,54
2025-03-19 12:00:00,18.22,55
2025-03-19 13:00:00,18.08,56
2025-03-19 14:00:00,17.64,59
2025-03-19 15:00:00,17.15,63
2025-03-19 16:00:00,16.93,66
2025-03-19 17:00:00,16.76,68
2025-03-19 18:00:00,16.8,69
2025-03-19 19:00:00,16.53,70
2025-03-19 20:00:00,16.27,72
2025-03-19 21:00:00,16.14,73
2025-03-19 22:00:00,15.9,74
2025-03-19 23:00:00,16.01,73
2025-03-20 00:00:00,16.95,67
2025-03-20 01:00:00,18.16,59
2025-03-20 02:00:00,19.33,51
2025-03-20 03:00:00,20.54,45
2025-03-20 04:00:00,21.35,42
2025-03-20 05:00:00,21.59,41
2025-03-20 06:00:00,21.84,40
2025-03-20 07:00:00,21.76,42
2025-03-20 08:00:00,21.0,47
2025-03-20 09:00:00,20.32,50
2025-03-20 10:00:00,19.55,54
2025-03-20 11:00:00,19.03,58
2025-03-20 12:00:00,19.0,59
2025-03-20 13:00:00,18.92,61
2025-03-20 14:00:00,18.6,63
2025-03-20 15:00:00,18.16,64
2025-03-20 16:00:00,17.73,66
2025-03-20 17:00:00,17.48,68
2025-03-20 18:00:00,17.32,69
2025-03-20 19:00:00,17.15,69
2025-03-20 20:00:00,16.93,70
2025-03-20 21:00:00,16.82,71
2025-03-20 22:00:00,16.61,72
2025-03-20 23:00:00,16.71,71
2025-03-21 00:00:00,18.09,64
2025-03-21 01:00:00,19.67,52
2025-03-21 02:00:00,21.1,42
2025-03-21 03:00:00,22.3,36
2025-03-21 04:00:00,23.06,31
2025-03-21 05:00:00,23.36,33
2025-03-21 06:00:00,22.86,37
2025-03-21 07:00:00,22.21,42
2025-03-21 08:00:00,21.68,45
2025-03-21 09:00:00,21.07,48
2025-03-21 10:00:00,20.62,50
2025-03-21 11:00:00,20.06,53
2025-03-21 12:00:00,19.75,56
2025-03-21 13:00:00,19.37,58
2025-03-21 14:00:00,18.91,61
2025-03-21 15:00:00,18.62,63
2025-03-21 16:00:00,18.42,64
2025-03-21 17:00:00,18.21,64
2025-03-21 18:00:00,18.01,64
2025-03-21 19:00:00,17.79,64
2025-03-21 20:00:00,17.54,65
2025-03-21 21:00:00,17.23,67
2025-03-21 22:00:00,17.0,68
2025-03-21 23:00:00,17.31,66
2025-03-22 00:00:00,18.6,60
2025-03-22 01:00:00,20.15,52
2025-03-22 02:00:00,21.53,45
2025-03-22 03:00:00,22.57,41
2025-03-22 04:00:00,23.0,39
2025-03-22 05:00:00,23.23,39
2025-03-22 06:00:00,23.12,40
2025-03-22 07:00:00,22.73,42
2025-03-22 08:00:00,22.07,45
2025-03-22 09:00:00,21.72,46
